Adult Stages/Adult Hypnogram (973 events)						
						
-------------------------------------------------------------------------------------						
#	Segment	Epoch	Start Time (s)	Duration (s)	Interval (s)	Event
"311, "	"1, "	"311, "	"9315.000,"	"1.000,"	"30.000,"	2
"312, "	"1, "	"312, "	"9345.000,"	"1.000,"	"30.000,"	2
"313, "	"1, "	"313, "	"9375.000,"	"1.000,"	"30.000,"	1
"314, "	"1, "	"314, "	"9405.000,"	"1.000,"	"30.000,"	1
"315, "	"1, "	"315, "	"9435.000,"	"1.000,"	"30.000,"	1
"316, "	"1, "	"316, "	"9465.000,"	"1.000,"	"30.000,"	2
"317, "	"1, "	"317, "	"9495.000,"	"1.000,"	"30.000,"	2
"318, "	"1, "	"318, "	"9525.000,"	"1.000,"	"30.000,"	2
"319, "	"1, "	"319, "	"9555.000,"	"1.000,"	"30.000,"	2
"320, "	"1, "	"320, "	"9585.000,"	"1.000,"	"30.000,"	1
"321, "	"1, "	"321, "	"9615.000,"	"1.000,"	"30.000,"	2
"322, "	"1, "	"322, "	"9645.000,"	"1.000,"	"30.000,"	1
"323, "	"1, "	"323, "	"9675.000,"	"1.000,"	"30.000,"	1
"324, "	"1, "	"324, "	"9705.000,"	"1.000,"	"30.000,"	2
"325, "	"1, "	"325, "	"9735.000,"	"1.000,"	"30.000,"	2
"326, "	"1, "	"326, "	"9765.000,"	"1.000,"	"30.000,"	2
"327, "	"1, "	"327, "	"9795.000,"	"1.000,"	"30.000,"	2
"328, "	"1, "	"328, "	"9825.000,"	"1.000,"	"30.000,"	3
"329, "	"1, "	"329, "	"9855.000,"	"1.000,"	"30.000,"	3
"330, "	"1, "	"330, "	"9885.000,"	"1.000,"	"30.000,"	3
"331, "	"1, "	"331, "	"9915.000,"	"1.000,"	"30.000,"	3
"332, "	"1, "	"332, "	"9945.000,"	"1.000,"	"30.000,"	3
"333, "	"1, "	"333, "	"9975.000,"	"1.000,"	"30.000,"	3
"334, "	"1, "	"334, "	"10005.000,"	"1.000,"	"30.000,"	3
"335, "	"1, "	"335, "	"10035.000,"	"1.000,"	"30.000,"	3
"336, "	"1, "	"336, "	"10065.000,"	"1.000,"	"30.000,"	2
"337, "	"1, "	"337, "	"10095.000,"	"1.000,"	"30.000,"	1
"338, "	"1, "	"338, "	"10125.000,"	"1.000,"	"30.000,"	2
"339, "	"1, "	"339, "	"10155.000,"	"1.000,"	"30.000,"	2
"340, "	"1, "	"340, "	"10185.000,"	"1.000,"	"30.000,"	2
"341, "	"1, "	"341, "	"10215.000,"	"1.000,"	"30.000,"	2
"342, "	"1, "	"342, "	"10245.000,"	"1.000,"	"30.000,"	2
"343, "	"1, "	"343, "	"10275.000,"	"1.000,"	"30.000,"	2
"344, "	"1, "	"344, "	"10305.000,"	"1.000,"	"30.000,"	2
"345, "	"1, "	"345, "	"10335.000,"	"1.000,"	"30.000,"	2
"346, "	"1, "	"346, "	"10365.000,"	"1.000,"	"30.000,"	2
"347, "	"1, "	"347, "	"10395.000,"	"1.000,"	"30.000,"	3
"348, "	"1, "	"348, "	"10425.000,"	"1.000,"	"30.000,"	3
"349, "	"1, "	"349, "	"10455.000,"	"1.000,"	"30.000,"	3
